variant,model,class,acc_mean,acc_std
E,deit_tiny,Siamese,0.8467,0.0471
E,deit_tiny,Persian,0.8633,0.0741
E,deit_tiny,boxer,0.8956,0.0048
E,deit_tiny,american_bulldog,0.8467,0.0047
E,deit_tiny,staffordshire_bull_terrier,0.6854,0.0511
E,deit_tiny,english_cocker_spaniel,0.8767,0.066
E,deit_tiny,english_setter,0.8933,0.0377
E,dinov2_small,Maine_Coon,0.85,0.0141
E,dinov2_small,Ragdoll,0.6567,0.0624
E,dinov2_small,Birman,0.8933,0.0125
E,dinov2_small,Siamese,0.9233,0.0249
E,dinov2_small,Persian,0.9433,0.0205
E,dinov2_small,boxer,0.9293,0.0218
E,dinov2_small,american_bulldog,0.9333,0.0094
E,dinov2_small,staffordshire_bull_terrier,0.8352,0.0347
E,dinov2_small,english_cocker_spaniel,0.9767,0.0125
E,dinov2_small,english_setter,0.97,0.0082
E,resnet18,Maine_Coon,0.8267,0.0125
E,resnet18,Ragdoll,0.58,0.0735
E,resnet18,Birman,0.8067,0.0236
E,resnet18,Siamese,0.83,0.0432
E,resnet18,Persian,0.8933,0.0094
E,resnet18,boxer,0.8754,0.0172
E,resnet18,american_bulldog,0.7167,0.0531
E,resnet18,staffordshire_bull_terrier,0.7715,0.0053
E,resnet18,english_cocker_spaniel,0.93,0.0497
E,resnet18,english_setter,0.9033,0.034
